Name,Address,City,State,Zip,Category,Status,Notes,Latitude,Longitude,Geocode_Status,Geocode_Match
Odeo/Twitter Birthplace,164 South Park,San Francisco,CA,94107,Historic Origin,Verify tenant,Twitter founded here 2006,,,PENDING,
Alpine Inn (Zott's/Rossotti's),3915 Alpine Rd,Portola Valley,CA,94028,Founder Hangout,Open,1976 first inter-network transmission plaque on site,,,PENDING,
Buck's of Woodside,3062 Woodside Rd,Woodside,CA,94062,Founder Hangout,Open,Hotmail PayPal Tesla dealmaking lore,,,PENDING,
Dutch Goose,3567 Alameda de las Pulgas,Menlo Park,CA,94025,Founder Hangout,Open,Atari founders hangout,,,PENDING,
St Michael's Alley,140 Homer Ave,Palo Alto,CA,94301,Founder Hangout,Open - relocated,Originally 436 University Ave 1959,,,PENDING,
Sand Hill Sundeck,3000 Sand Hill Rd,Menlo Park,CA,94025,Founder Hangout,Open,Reborn 2024 original 1970s VC lunch spot,,,PENDING,
Il Fornaio Palo Alto,520 Cowper St,Palo Alto,CA,94301,Founder Hangout,Open,VC/recruiter breakfast spot,,,PENDING,
Peninsula Creamery,566 Emerson St,Palo Alto,CA,94301,Founder Hangout,Open,Classic engineer diner,,,PENDING,
Red Rock Coffee,201 Castro St,Mountain View,CA,94041,Founder Hangout,Open,Coder night hangout,,,PENDING,
The Battery,717 Battery St,San Francisco,CA,94111,Private Club,Members only,Est 2013 tech members club,,,PENDING,
The Institute,415 Mission St 59th Floor (Salesforce Tower),San Francisco,CA,94105,Private Club,Members only - invite only,Founded 2024 by Hering and Tamas,,,PENDING,
Rosewood Sand Hill / Madera,2825 Sand Hill Rd,Menlo Park,CA,94025,Private Club,Open to public restaurant,VERIFIED coords 37.419764 -122.211789,,,PENDING,
The Village Pub,2967 Woodside Rd,Woodside,CA,94062,Private Club,Open,VC second office,,,PENDING,
Corgi Cafe,9 Claude Lane,San Francisco,CA,94108,AI-Era Hangout,Verify which locations open,Below AI-insurance startup Corgi,,,PENDING,
Frontier Tower,995 Market St,San Francisco,CA,94103,AI-Era Hangout,Open,16-floor vertical tech hub,,,PENDING,
Andon Market,2102 Union St,San Francisco,CA,94123,AI-Era Hangout,Open,First AI-run store opened April 2026,,,PENDING,
Tiat,151 Powell St,San Francisco,CA,94102,AI-Era Hangout,Open,Immersive art/tech gallery,,,PENDING,
World Flagship Store,281 Geary St,San Francisco,CA,94102,AI-Era Hangout,Open,Sam Altman's World retina-scan Orbs,,,PENDING,
OpenAI Office,1455 3rd St,San Francisco,CA,94158,AI-Era Hangout,Active - not open to public,Former Uber HQ Mission Bay,,,PENDING,
Anthropic Office,500 Howard St,San Francisco,CA,94105,AI-Era Hangout,Active - not open to public,Foundry Square,,,PENDING,
Waymo Depot,590 Brannan St,San Francisco,CA,94107,AI-Era Hangout,Visible exterior,Robotaxi hub,,,PENDING,
Y Combinator Mountain View Office,335 Pioneer Way,Mountain View,CA,94041,AI-Era Hangout,Verify address,Arguably the seed of the current AI wave,,,PENDING,
The Interval at Long Now,Fort Mason Center Landmark Building A,San Francisco,CA,94123,AI-Era Hangout,Open,Bar/cafe tied to Long Now Foundation - popular for AI-crowd talks and meetups,,,PENDING,
Sightglass Coffee Flagship,270 7th St,San Francisco,CA,94103,Founder Cafe,Open,Top founder coffee shop per Mercury data,,,PENDING,
Saint Frank Coffee,2340 Polk St,San Francisco,CA,94109,Founder Cafe,Open,,,,PENDING,
Ritual Coffee Roasters,1026 Valencia St,San Francisco,CA,94110,Founder Cafe,Open,,,,PENDING,
Four Barrel Coffee,375 Valencia St,San Francisco,CA,94103,Founder Cafe,Open,Wi-Fi-refusing Mission landmark,,,PENDING,
Blue Bottle Coffee Original Kiosk,315 Linden St,San Francisco,CA,94102,Founder Cafe,Verify open,2005 origin location Hayes Valley,,,PENDING,
HF0 Hacker Fellowship,1000 Fulton St,San Francisco,CA,94117,Hacker House,Active - private,Archbishop's Mansion now 1000 Fulton Hotel,,,PENDING,
South Park,South Park,San Francisco,CA,94107,Historic SF,Public park visitable,Dot-com and Web 2.0 cradle,,,PENDING,
Coupa Cafe,538 Ramona St,Palo Alto,CA,94301,Founder Hangout,Open,Jobs Andreessen Paul Graham spotted here,,,PENDING,
Caffe Centro,South Park,San Francisco,CA,94107,Founder Hangout,Open,,,,PENDING,
Sam's Grill,374 Bush St,San Francisco,CA,94104,Founder Hangout,Open,Original West Coast VC lunch club,,,PENDING,
Bird Dog,420 Ramona St,Palo Alto,CA,94301,Founder Hangout,Open,Co-financed by VCs Palihapitiya and Lau,,,PENDING,
Evvia Estiatorio,420 Emerson St,Palo Alto,CA,94301,Founder Hangout,Open,,,,PENDING,
Calafia Cafe,855 El Camino Real #130,Palo Alto,CA,94301,Founder Hangout,Open,Sergey Brin regular,,,PENDING,
Twitter/X HQ,1355 Market St,San Francisco,CA,94103,Tech HQ,Active,Current X headquarters,,,PENDING,
Airbnb HQ,888 Brannan St,San Francisco,CA,94103,Tech HQ,Active,Company headquarters,,,PENDING,
Dropbox HQ,1800 Owens St,San Francisco,CA,94158,Tech HQ,Active,Company headquarters,,,PENDING,
Uber HQ,1725 3rd St,San Francisco,CA,94158,Tech HQ,Active,Current Mission Bay campus,,,PENDING,
LinkedIn HQ,222 2nd St,San Francisco,CA,94105,Tech HQ,Active,Company headquarters,,,PENDING,
Pinterest HQ,505 Brannan St,San Francisco,CA,94107,Tech HQ,Active,Company headquarters,,,PENDING,
Adobe HQ,345 Park Ave,San Jose,CA,95110,Tech HQ,Active,Iconic Adobe Towers skyline,,,PENDING,
eBay HQ,2025 Hamilton Ave,San Jose,CA,95125,Tech HQ,Active,Company headquarters,,,PENDING,
PayPal HQ,2211 N First St,San Jose,CA,95131,Tech HQ,Active,Company headquarters,,,PENDING,
Yahoo HQ,701 First Ave,Sunnyvale,CA,94089,Tech HQ,Active,Company headquarters,,,PENDING,
Netflix HQ,100 Winchester Circle,Los Gatos,CA,95032,Tech HQ,Active,Company headquarters,,,PENDING,
Nvidia HQ,2788 San Tomas Expressway,Santa Clara,CA,95051,Tech HQ,Active,Ship-shaped Endeavor building,,,PENDING,
Apple Original HQ,1 Infinite Loop,Cupertino,CA,95014,Tech HQ Origin,Verify current tenant,Apple's original headquarters address,,,PENDING,
Oracle HQ,500 Oracle Parkway,Redwood City,CA,94065,Tech HQ,Active,Glass towers and fountains along 101,,,PENDING,
Cisco Current HQ,170 W Tasman Drive,San Jose,CA,95134,Tech HQ,Verify address,Current campus distinct from 1984 Atherton origin house,,,PENDING,
Applied Materials HQ,3050 Bowers Ave,Santa Clara,CA,95054,Tech HQ,Verify address,Largest semiconductor equipment maker,,,PENDING,
Stripe HQ,354 Oyster Point Blvd,South San Francisco,CA,94080,Tech HQ,Verify address,Moved to South SF campus,,,PENDING,
DoorDash HQ,303 2nd St,San Francisco,CA,94107,Tech HQ,Verify address,Company headquarters,,,PENDING,
Databricks HQ,160 Spear St,San Francisco,CA,94105,Tech HQ,Verify address,Company headquarters,,,PENDING,
Lyft HQ,185 Berry St,San Francisco,CA,94107,Tech HQ,Verify address,Company headquarters,,,PENDING,
Slack Original HQ,500 Howard St,San Francisco,CA,94105,Tech HQ Origin,Verify current use,Pre-Salesforce-acquisition HQ near Salesforce Tower,,,PENDING,
Salesforce HQ,415 Mission St,San Francisco,CA,94105,Tech HQ,Active,Same tower as Iconic SF entry - listed separately as company HQ,,,PENDING,
Block (Square) HQ,1955 Broadway,Oakland,CA,94612,Tech HQ,Active,Formerly Square,,,PENDING,
Reddit HQ,548 Market St,San Francisco,CA,94104,Tech HQ,Verify address,Company headquarters,,,PENDING,
Instacart HQ,50 Beale St,San Francisco,CA,94105,Tech HQ,Verify address,Company headquarters,,,PENDING,
Palantir Original Palo Alto Office,100 Hamilton Ave,Palo Alto,CA,94301,Tech HQ Origin,Verify address,Before the company's move to Denver,,,PENDING,
Golden Gate Bridge,Golden Gate Bridge Toll Plaza,San Francisco,CA,94129,Iconic SF,Visitable,Most photographed SF landmark,,,PENDING,
Alcatraz Island,Pier 33,San Francisco,CA,94133,Iconic SF,Visitable - ferry departure,Former federal prison,,,PENDING,
Fisherman's Wharf,Jefferson St,San Francisco,CA,94133,Iconic SF,Visitable,Waterfront tourist district,,,PENDING,
Pier 39,Pier 39,San Francisco,CA,94133,Iconic SF,Visitable,Sea lions and shops,,,PENDING,
Painted Ladies,710-720 Steiner St,San Francisco,CA,94117,Iconic SF,Visitable exterior,Postcard Row at Alamo Square,,,PENDING,
Coit Tower,1 Telegraph Hill Blvd,San Francisco,CA,94133,Iconic SF,Visitable,Telegraph Hill tower and murals,,,PENDING,
Lombard Street,Lombard St between Hyde and Leavenworth,San Francisco,CA,94109,Iconic SF,Visitable,Crookedest street,,,PENDING,
Golden Gate Park,John F Kennedy Dr,San Francisco,CA,94122,Iconic SF,Visitable,Large urban park,,,PENDING,
Ferry Building,1 Ferry Building,San Francisco,CA,94111,Iconic SF,Visitable,Marketplace and clock tower,,,PENDING,
Chinatown Gate,Grant Ave and Bush St,San Francisco,CA,94108,Iconic SF,Visitable,Dragon's Gate entrance,,,PENDING,
Palace of Fine Arts,3301 Lyon St,San Francisco,CA,94123,Iconic SF,Visitable,Marina District rotunda,,,PENDING,
Twin Peaks,501 Twin Peaks Blvd,San Francisco,CA,94114,Iconic SF,Visitable overlook,City skyline view,,,PENDING,
Union Square,333 Post St,San Francisco,CA,94108,Iconic SF,Visitable,Shopping and plaza,,,PENDING,
Transamerica Pyramid,600 Montgomery St,San Francisco,CA,94111,Iconic SF,Exterior visitable,Iconic pyramid skyscraper,,,PENDING,
Salesforce Tower,415 Mission St,San Francisco,CA,94105,Iconic SF,Exterior visitable,Tallest SF building,,,PENDING,
Powell Street Cable Car Turntable,Powell St and Market St,San Francisco,CA,94102,Iconic SF,Visitable,Manual cable car turnaround,,,PENDING,
Japantown Peace Pagoda,1625 Post St,San Francisco,CA,94115,Iconic SF,Visitable,Peace Plaza landmark,,,PENDING,
Mission Dolores,3321 16th St,San Francisco,CA,94114,Iconic SF,Visitable,Oldest building in SF,,,PENDING,
Exploratorium,Pier 15,San Francisco,CA,94111,Iconic SF,Visitable museum,Science museum,,,PENDING,
De Young Museum,50 Hagiwara Tea Garden Dr,San Francisco,CA,94118,Iconic SF,Visitable museum,Golden Gate Park,,,PENDING,
California Academy of Sciences,55 Music Concourse Dr,San Francisco,CA,94118,Iconic SF,Visitable museum,Golden Gate Park,,,PENDING,
Legion of Honor,100 34th Ave,San Francisco,CA,94121,Iconic SF,Visitable museum,Lincoln Park art museum,,,PENDING,
Musee Mecanique,Pier 45,San Francisco,CA,94133,Iconic SF,Visitable,Antique arcade museum,,,PENDING,
Haight-Ashbury Intersection,Haight St and Ashbury St,San Francisco,CA,94117,Iconic SF,Visitable,1960s counterculture landmark,,,PENDING,
San Francisco City Hall,1 Dr Carlton B Goodlett Pl,San Francisco,CA,94102,Iconic SF,Visitable,Beaux-Arts dome,,,PENDING,
Grace Cathedral,1100 California St,San Francisco,CA,94108,Iconic SF,Visitable,Nob Hill cathedral,,,PENDING,
Crissy Field,1199 East Beach,San Francisco,CA,94129,Iconic SF,Visitable,Waterfront park near bridge,,,PENDING,
Sutro Baths Ruins,1004 Point Lobos Ave,San Francisco,CA,94121,Iconic SF,Visitable ruins,Historic bathhouse remains,,,PENDING,
Lands End Lookout,680 Point Lobos Ave,San Francisco,CA,94121,Iconic SF,Visitable,Coastal trail viewpoint,,,PENDING,
Castro Theatre,429 Castro St,San Francisco,CA,94114,Iconic SF,Exterior visitable,Historic movie palace,,,PENDING,
Vaillancourt Fountain,Justin Herman Plaza,San Francisco,CA,94111,Iconic SF,Visitable,Embarcadero plaza fountain,,,PENDING,
Oracle Park,24 Willie Mays Plaza,San Francisco,CA,94107,Iconic SF,Visitable,SF Giants stadium,,,PENDING,
Chase Center,1 Warriors Way,San Francisco,CA,94158,Iconic SF,Visitable,Golden State Warriors arena,,,PENDING,
Wave Organ,83 Marina Green Dr,San Francisco,CA,94123,Iconic SF,Visitable,Acoustic sculpture jetty,,,PENDING,
Ghirardelli Square,900 North Point St,San Francisco,CA,94109,Iconic SF,Visitable,Historic chocolate factory square,,,PENDING,
Cable Car Museum,1201 Mason St,San Francisco,CA,94108,Iconic SF,Visitable museum,Free cable car history museum,,,PENDING,
Filbert Steps,Filbert St and Montgomery St,San Francisco,CA,94133,Iconic SF,Visitable,Telegraph Hill garden stairway,,,PENDING,
Bernal Heights Park,Bernal Heights Blvd,San Francisco,CA,94110,Iconic SF,Visitable overlook,Hilltop park with city views,,,PENDING,
SFMOMA,151 3rd St,San Francisco,CA,94103,Iconic SF,Visitable museum,Modern art museum,,,PENDING,
Yerba Buena Gardens,750 Howard St,San Francisco,CA,94103,Iconic SF,Visitable,Downtown gardens and memorials,,,PENDING,
Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,Iconic SF,Visitable exterior/lobby,Historic Garden Court hotel,,,PENDING,
Presidio Tunnel Tops,Presidio Blvd,San Francisco,CA,94129,Iconic SF,Visitable,New park overlooking bridge,,,PENDING,
Baker Beach,Gettysburg Dr,San Francisco,CA,94129,Iconic SF,Visitable,Beach with bridge views,,,PENDING,
Washington Square Park,Union St and Stockton St,San Francisco,CA,94133,Iconic SF,Visitable,North Beach park,,,PENDING,
Dolores Park,Dolores St and 19th St,San Francisco,CA,94114,Iconic SF,Visitable,Popular hillside park,,,PENDING,
Conservatory of Flowers,100 John F Kennedy Dr,San Francisco,CA,94118,Iconic SF,Visitable,Victorian greenhouse,,,PENDING,
Aquarium of the Bay,Beach St and The Embarcadero,San Francisco,CA,94133,Iconic SF,Visitable,Pier 39 aquarium,,,PENDING,
USS Pampanito,Pier 45,San Francisco,CA,94133,Iconic SF,Visitable,WWII submarine museum,,,PENDING,
SS Jeremiah O'Brien,Pier 45,San Francisco,CA,94133,Iconic SF,Visitable,WWII Liberty ship museum,,,PENDING,
Angel Island Immigration Station,Angel Island State Park,Tiburon,CA,94920,Iconic SF,Visitable - ferry access,Historic immigration station,,,PENDING,
The Presidio,Presidio Blvd,San Francisco,CA,94129,Iconic SF,Visitable,Full park; Tunnel Tops and Crissy Field are sub-sites,,,PENDING,
Bay Bridge,San Francisco-Oakland Bay Bridge,San Francisco,CA,94105,Iconic SF,Visitable,Major bridge landmark,,,PENDING,
Japanese Tea Garden,75 Hagiwara Tea Garden Dr,San Francisco,CA,94118,Iconic SF,Visitable,Golden Gate Park one of most-visited spots,,,PENDING,
Cliff House,1090 Point Lobos Ave,San Francisco,CA,94121,Iconic SF,Currently closed exterior visitable,Historic restaurant site near Sutro Baths,,,PENDING,
Fort Point,Marine Dr,San Francisco,CA,94129,Iconic SF,Visitable,National Historic Site under Golden Gate Bridge,,,PENDING,
Cathedral of St Mary of the Assumption,1111 Gough St,San Francisco,CA,94109,Iconic SF,Visitable,Modernist cathedral skyline feature,,,PENDING,
Hyde Street Pier,2905 Hyde St,San Francisco,CA,94109,Iconic SF,Visitable,Historic ship collection near Ghirardelli Square,,,PENDING,
City Lights Bookstore,261 Columbus Ave,San Francisco,CA,94133,Iconic SF,Visitable,Beat Generation landmark National Literary Landmark,,,PENDING,
Asian Art Museum,200 Larkin St,San Francisco,CA,94102,Iconic SF,Visitable museum,Civic Center museum next to City Hall,,,PENDING,
War Memorial Opera House,301 Van Ness Ave,San Francisco,CA,94102,Iconic SF,Visitable,Civic Center arts complex,,,PENDING,
Davies Symphony Hall,201 Van Ness Ave,San Francisco,CA,94102,Iconic SF,Visitable,Civic Center arts complex,,,PENDING,
Salesforce Park,55 Stevenson St,San Francisco,CA,94105,Iconic SF,Visitable,Rooftop park on Transit Center distinct from tower,,,PENDING,
Ocean Beach,Great Highway,San Francisco,CA,94122,Iconic SF,Visitable,City's longest beach,,,PENDING,
Balmy Alley,Balmy St,San Francisco,CA,94110,Iconic SF,Visitable,Mission District mural corridor,,,PENDING,
Clarion Alley,Clarion Alley,San Francisco,CA,94110,Iconic SF,Visitable,Mission District mural corridor,,,PENDING,
Ross Alley,Ross Alley,San Francisco,CA,94108,Iconic SF,Visitable,Chinatown alley,,,PENDING,
Tin How Temple,125 Waverly Pl,San Francisco,CA,94108,Iconic SF,Visitable - respectful visit,Oldest Chinese temple in the US,,,PENDING,
Apple Park Visitor Center,10600 N Tantau Ave,Cupertino,CA,95014,Iconic Silicon Valley,Visitable,Apple's spaceship campus viewpoint,,,PENDING,
Googleplex,1600 Amphitheatre Pkwy,Mountain View,CA,94043,Iconic Silicon Valley,Visitable exterior,Google HQ and Android statues,,,PENDING,
Meta HQ,1 Hacker Way,Menlo Park,CA,94025,Iconic Silicon Valley,Visitable exterior,Facebook/Meta headquarters sign,,,PENDING,
Tesla Fremont Factory,45500 Fremont Blvd,Fremont,CA,94538,Iconic Silicon Valley,Exterior visitable,Tesla's main US assembly plant,,,PENDING,
NASA Ames / Hangar One,Moffett Blvd,Mountain View,CA,94035,Iconic Silicon Valley,Visitable exterior,Historic airship hangar,,,PENDING,
Stanford Main Quad / Hoover Tower,450 Serra Mall,Stanford,CA,94305,Iconic Silicon Valley,Visitable campus,Stanford's central quad and tower,,,PENDING,
Stanford Dish Trail,1310 Junipero Serra Blvd,Stanford,CA,94305,Iconic Silicon Valley,Visitable trailhead,Popular hiking loop,,,PENDING,
Winchester Mystery House,525 S Winchester Blvd,San Jose,CA,95128,Iconic Silicon Valley,Visitable museum,Famous sprawling Victorian mansion,,,PENDING,
The Tech Interactive,201 S Market St,San Jose,CA,95113,Iconic Silicon Valley,Visitable museum,Tech Museum of Innovation,,,PENDING,
Rosicrucian Egyptian Museum,1660 Park Ave,San Jose,CA,95191,Iconic Silicon Valley,Visitable museum,Egyptian antiquities collection,,,PENDING,
Levi's Stadium,4900 Marie P DeBartolo Way,Santa Clara,CA,95054,Iconic Silicon Valley,Visitable,SF 49ers stadium,,,PENDING,
SAP Center,525 W Santa Clara St,San Jose,CA,95113,Iconic Silicon Valley,Visitable,San Jose Sharks arena,,,PENDING,
Filoli Historic House & Garden,86 Canada Rd,Woodside,CA,94062,Iconic Silicon Valley,Visitable,Historic estate and gardens,,,PENDING,
Cantor Arts Center,328 Lomita Dr,Stanford,CA,94305,Iconic Silicon Valley,Visitable museum,Stanford's free art museum,,,PENDING,
Villa Montalvo / Montalvo Arts Center,15400 Montalvo Rd,Saratoga,CA,95071,Iconic Silicon Valley,Visitable,Historic estate and arts center,,,PENDING,
Rengstorff House,3070 N Shoreline Blvd,Mountain View,CA,94043,Iconic Silicon Valley,Visitable,Victorian house museum,,,PENDING,
Shoreline Amphitheatre,1 Amphitheatre Pkwy,Mountain View,CA,94043,Iconic Silicon Valley,Visitable,Major concert venue,,,PENDING,
Municipal Rose Garden,1649 Naglee Ave,San Jose,CA,95126,Iconic Silicon Valley,Visitable,Historic rose garden,,,PENDING,
Japanese Friendship Garden,1300 Senter Rd,San Jose,CA,95112,Iconic Silicon Valley,Visitable,Kelley Park garden,,,PENDING,
Palo Alto Baylands Nature Preserve,2775 Embarcadero Rd,Palo Alto,CA,94303,Iconic Silicon Valley,Visitable,Wetland nature preserve,,,PENDING,
Mission Santa Clara de Asis,500 El Camino Real,Santa Clara,CA,95053,Iconic Silicon Valley,Visitable,Historic mission on SCU campus,,,PENDING,
Stanford Memorial Church,450 Jane Stanford Way,Stanford,CA,94305,Iconic Silicon Valley,Visitable,Landmark campus church,,,PENDING,
History San Jose / History Park,1650 Senter Rd,San Jose,CA,95112,Iconic Silicon Valley,Visitable,Historic buildings collection,,,PENDING,
Guadalupe River Park,438 Coleman Ave,San Jose,CA,95110,Iconic Silicon Valley,Visitable,Downtown San Jose riverside park,,,PENDING,
Hakone Estate and Gardens,21000 Big Basin Way,Saratoga,CA,95070,Iconic Silicon Valley,Visitable,Japanese-style gardens,,,PENDING,
California's Great America,4701 Great America Pkwy,Santa Clara,CA,95054,Iconic Silicon Valley,Visitable,Theme park,,,PENDING,
Lick Observatory,7281 Mount Hamilton Rd,Mount Hamilton,CA,95140,Iconic Silicon Valley,Visitable,Sits atop Mount Hamilton,,,PENDING,
Santana Row,377 Santana Row,San Jose,CA,95128,Iconic Silicon Valley,Visitable,Shopping and dining district,,,PENDING,
